H,T,m,dm,chi,chiT,M
14044.29,1.8011110000000001,0.06627534,5.589728e-06,0.7454631899939416,1.3426619515931781,1.8760731442835306
12035.0,1.8026669999999998,0.06560897,3.697332e-05,0.861172362809571,1.5524069997488408,1.8572054651365615
10029.24,1.8008240000000002,0.0649265,2.9292059999999996e-06,1.0226472038954897,1.8416076283078915,1.837882040662158
9773.44,1.801037,0.06483224,1.153782e-06,1.0478890486334718,1.887286948483682,1.8352132129643939
9524.946,1.8014299999999999,0.06476083,1.434046e-05,1.0740425183574123,1.934812413844593,1.8331912304290192
9274.173,1.8028959999999998,0.06464081,2.233783e-06,1.1010398656396192,1.9850603696022067,1.8297932088720061
9022.255,1.8022209999999999,0.06455364,6.09022e-06,1.1302563229907414,2.0369716806766966,1.8273250906515912
8772.393,1.8027080000000002,0.06445122,4.356933e-06,1.1606044419485015,2.0922309123360994,1.8244252854236223
8519.786,1.800929,0.06436613,7.475798999999999e-06,1.1934376547864338,2.1492964821968776,1.8220160456017325
8270.836,1.801225,0.06425136,4.873232e-06,1.2271673627899473,2.210404533041323,1.8187666430467582
8020.063,1.802674,0.06417315,1.556799e-05,1.263997802958263,2.278575975449984,1.8165521636950646
7769.513000000001,1.8008380000000002,0.0640581,4.325324e-06,1.3024193844999303,2.345446319544086,1.8132948315618573
7518.731,1.8011669999999997,0.06396448,3.9934140000000006e-06,1.3438932715943364,2.420576212317756,1.8106441315406314
7268.643,1.8017439999999998,0.06385183,1.313401e-05,1.3876831573155022,2.500249802594262,1.8074547387240705
7018.55,1.801432,0.06377272,6.1112929999999994e-06,1.4353496534895571,2.585684796985,1.8052147839634032
6765.948,1.801241,0.06365234,9.8729e-06,1.4861263526488582,2.676871717571582,1.801806567724958
6515.971,1.8012240000000002,0.06356104,1.085281e-06,1.5409257945430548,2.7755525233500196,1.799221543147169
6262.911999999999,1.802609,0.06343446,4.878498e-06,1.5999951256157519,2.884165613391085,1.7956378185911037
6013.276,1.800641,0.06332313,1.667961e-05,1.6634923569594073,2.995352541127744,1.7924857928242492
5763.185,1.8007900000000001,0.06321825,6.24827e-06,1.7328035753891589,3.1204153505250436,1.78951635032258
5512.978,1.8016450000000002,0.06310372,1.8297e-05,1.8081646708664616,3.2576708384432065,1.7862737388969605
5261.973000000001,1.801052,0.06299087,3.5456079999999998e-06,1.8910286904349383,3.4058410049652266,1.783078682581615
5010.74,1.800641,0.06288972,1.155877e-05,1.9826532687930927,3.570046764572863,1.7802148251015675
4762.018,1.8012759999999999,0.06277779,1.4503779999999999e-05,2.0824942833132525,3.751146972669362,1.7770458167193155
4509.302,1.8009939999999998,0.06264676,1.016266e-05,2.194613084911391,3.9524849982469057,1.7733361239265564
4260.92,1.8011169999999999,0.06254606,1.53678e-05,2.31880965222459,4.176447484385796,1.7704850110126975
4008.775,1.800978,0.06241864,4.470201e-06,2.459636826637851,4.429751812764584,1.7668775100089154
3756.972,1.8005520000000002,0.06229393,1.4171879999999998e-06,2.619244147673384,4.716085288581607,1.7633467234304865
3507.222,1.801216,0.06218811,5.363187e-06,2.8009938754467796,5.045194984356747,1.7603506724854951
3255.8740000000003,1.8007810000000002,0.06206498,5.2683559999999996e-08,3.011250818410709,5.422603260028455,1.756864612948236
3005.212,1.800846,0.06192598,6.7487639999999995e-06,3.255108839851788,5.861949733811733,1.7529293127239784
2754.55,1.8008380000000002,0.06181422,1.7148519999999998e-06,3.5449108568485097,6.3838101776253575,1.74976511246798
2505.256,1.8009369999999998,0.06168601,4.393809e-06,3.8895736138347736,7.004877035378755,1.7461352545634024
2254.0229999999997,1.801407,0.0615644,2.1381620000000003e-05,4.3145804889569765,7.77231549487052,1.742692222878121
2003.475,1.800921,0.06142069,2.562792e-05,4.842814864634912,8.72152698883317,1.7386235939397316
1753.3829999999998,1.8013810000000001,0.06127009,1.091603e-05,5.519994743621543,9.943613651259719,1.7343599263790548
1500.096,1.800846,0.06097377,9.324989999999999e-07,6.420823516889915,11.562914347097136,1.725971263424775
1251.259,1.8008709999999999,0.05934521,2.6989790000000003e-05,7.492119530137038,13.492340790357417,1.6798700468341308
999.7974,1.8011759999999999,0.05029636,0.0001359921,7.946725065460167,14.31345046650528,1.4237179661756578
750.5045,1.8031650000000001,0.02869652,4.6084940000000006e-05,6.03986328111927,10.890870073299428,0.8122770505837744
498.929,1.801782,0.00325389,3.981099e-05,1.0296480413393723,1.8552013072205369,0.09205583467144965
248.9511,1.80315,0.000333254,4.765187e-06,0.21024163426288692,0.3790972028211245,0.009379000260824827
0.7986521,1.8008560000000002,-3.54514e-05,1.035674e-05,-7.397688808159671,-13.322172276307194,-0.0010587111107138768
